Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 14/10/2025 ; 09:00 ; 00766 ; 00063 ; 00000 ; 00000 ; 00000 ; 00000 ; 00688 ; 00057 ; 00403 ; 00019 ; 00000 ; 00000
00001 ; 14/10/2025 ; 10:00 ; 00624 ; 00066 ; 00000 ; 00000 ; 00000 ; 00000 ; 00456 ; 00040 ; 00275 ; 00013 ; 00000 ; 00000
00001 ; 14/10/2025 ; 11:00 ; 00608 ; 00068 ; 00000 ; 00000 ; 00000 ; 00000 ; 00441 ; 00051 ; 00176 ; 00012 ; 00000 ; 00000
00001 ; 14/10/2025 ; 12:00 ; 00658 ; 00071 ; 00000 ; 00000 ; 00000 ; 00000 ; 00424 ; 00036 ; 00196 ; 00023 ; 00000 ; 00000
00001 ; 14/10/2025 ; 13:00 ; 00704 ; 00060 ; 00000 ; 00000 ; 00000 ; 00000 ; 00465 ; 00035 ; 00230 ; 00012 ; 00000 ; 00000
00001 ; 14/10/2025 ; 14:00 ; 00763 ; 00039 ; 00000 ; 00000 ; 00000 ; 00000 ; 00537 ; 00038 ; 00231 ; 00010 ; 00000 ; 00000
00001 ; 14/10/2025 ; 15:00 ; 00758 ; 00056 ; 00000 ; 00000 ; 00000 ; 00000 ; 00525 ; 00030 ; 00243 ; 00014 ; 00000 ; 00000
00001 ; 14/10/2025 ; 16:00 ; 00816 ; 00059 ; 00000 ; 00000 ; 00000 ; 00000 ; 00432 ; 00035 ; 00216 ; 00009 ; 00000 ; 00000
00001 ; 14/10/2025 ; 17:00 ; 00939 ; 00048 ; 00000 ; 00000 ; 00000 ; 00000 ; 00537 ; 00036 ; 00252 ; 00021 ; 00000 ; 00000
00001 ; 14/10/2025 ; 18:00 ; 01182 ; 00048 ; 00000 ; 00000 ; 00000 ; 00000 ; 00707 ; 00041 ; 00295 ; 00016 ; 00000 ; 00000
00001 ; 14/10/2025 ; 19:00 ; 00932 ; 00031 ; 00000 ; 00000 ; 00000 ; 00000 ; 00638 ; 00025 ; 00260 ; 00011 ; 00000 ; 00000
00001 ; 14/10/2025 ; 20:00 ; 00718 ; 00018 ; 00000 ; 00000 ; 00000 ; 00000 ; 00427 ; 00017 ; 00158 ; 00009 ; 00000 ; 00000
00001 ; 14/10/2025 ; 21:00 ; 00513 ; 00016 ; 00000 ; 00000 ; 00000 ; 00000 ; 00303 ; 00014 ; 00136 ; 00005 ; 00000 ; 00000
00001 ; 14/10/2025 ; 22:00 ; 00313 ; 00013 ; 00000 ; 00000 ; 00000 ; 00000 ; 00203 ; 00008 ; 00078 ; 00004 ; 00000 ; 00000
00001 ; 14/10/2025 ; 23:00 ; 00190 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00115 ; 00007 ; 00036 ; 00001 ; 00000 ; 00000
00001 ; 14/10/2025 ; 24:00 ; 00060 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00042 ; 00003 ; 00006 ; 00001 ; 00000 ; 00000
00001 ; 15/10/2025 ; 01:00 ; 00030 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00017 ; 00001 ; 00011 ; 00000 ; 00000 ; 00000
00001 ; 15/10/2025 ; 02:00 ; 00014 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00011 ; 00000 ; 00002 ; 00001 ; 00000 ; 00000
00001 ; 15/10/2025 ; 03:00 ; 00017 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00008 ; 00001 ; 00001 ; 00000 ; 00000 ; 00000
00001 ; 15/10/2025 ; 04:00 ; 00011 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00011 ; 00000 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 15/10/2025 ; 05:00 ; 00025 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00012 ; 00001 ; 00010 ; 00000 ; 00000 ; 00000
00001 ; 15/10/2025 ; 06:00 ; 00131 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00062 ; 00003 ; 00037 ; 00002 ; 00000 ; 00000
00001 ; 15/10/2025 ; 07:00 ; 00218 ; 00023 ; 00000 ; 00000 ; 00000 ; 00000 ; 00148 ; 00012 ; 00100 ; 00006 ; 00000 ; 00000
00001 ; 15/10/2025 ; 08:00 ; 00594 ; 00046 ; 00000 ; 00000 ; 00000 ; 00000 ; 00519 ; 00034 ; 00381 ; 00010 ; 00000 ; 00000
00001 ; 15/10/2025 ; 09:00 ; 00741 ; 00080 ; 00000 ; 00000 ; 00000 ; 00000 ; 00600 ; 00058 ; 00391 ; 00012 ; 00000 ; 00000
00001 ; 15/10/2025 ; 10:00 ; 00572 ; 00075 ; 00000 ; 00000 ; 00000 ; 00000 ; 00354 ; 00063 ; 00240 ; 00018 ; 00000 ; 00000
00001 ; 15/10/2025 ; 11:00 ; 00563 ; 00084 ; 00000 ; 00000 ; 00000 ; 00000 ; 00374 ; 00063 ; 00238 ; 00015 ; 00000 ; 00000
00001 ; 15/10/2025 ; 12:00 ; 00682 ; 00088 ; 00000 ; 00000 ; 00000 ; 00000 ; 00470 ; 00055 ; 00253 ; 00010 ; 00000 ; 00000
00001 ; 15/10/2025 ; 13:00 ; 00654 ; 00058 ; 00000 ; 00000 ; 00000 ; 00000 ; 00453 ; 00052 ; 00228 ; 00008 ; 00000 ; 00000
00001 ; 15/10/2025 ; 14:00 ; 00689 ; 00033 ; 00000 ; 00000 ; 00000 ; 00000 ; 00513 ; 00038 ; 00209 ; 00011 ; 00000 ; 00000
00001 ; 15/10/2025 ; 15:00 ; 00771 ; 00077 ; 00000 ; 00000 ; 00000 ; 00000 ; 00440 ; 00040 ; 00231 ; 00011 ; 00000 ; 00000
00001 ; 15/10/2025 ; 16:00 ; 00792 ; 00073 ; 00000 ; 00000 ; 00000 ; 00000 ; 00451 ; 00036 ; 00244 ; 00009 ; 00000 ; 00000
00001 ; 15/10/2025 ; 17:00 ; 00928 ; 00067 ; 00000 ; 00000 ; 00000 ; 00000 ; 00530 ; 00052 ; 00267 ; 00019 ; 00000 ; 00000
00001 ; 15/10/2025 ; 18:00 ; 01083 ; 00056 ; 00000 ; 00000 ; 00000 ; 00000 ; 00661 ; 00040 ; 00268 ; 00016 ; 00000 ; 00000
00001 ; 15/10/2025 ; 19:00 ; 00944 ; 00030 ; 00000 ; 00000 ; 00000 ; 00000 ; 00592 ; 00027 ; 00220 ; 00009 ; 00000 ; 00000
00001 ; 15/10/2025 ; 20:00 ; 00739 ; 00015 ; 00000 ; 00000 ; 00000 ; 00000 ; 00468 ; 00017 ; 00170 ; 00005 ; 00000 ; 00000
00001 ; 15/10/2025 ; 21:00 ; 00491 ; 00013 ; 00000 ; 00000 ; 00000 ; 00000 ; 00288 ; 00010 ; 00095 ; 00005 ; 00000 ; 00000
00001 ; 15/10/2025 ; 22:00 ; 00271 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00176 ; 00012 ; 00074 ; 00002 ; 00000 ; 00000
00001 ; 15/10/2025 ; 23:00 ; 00196 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00119 ; 00008 ; 00033 ; 00001 ; 00000 ; 00000
00001 ; 15/10/2025 ; 24:00 ; 00054 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00037 ; 00004 ; 00015 ; 00001 ; 00000 ; 00000
00001 ; 16/10/2025 ; 01:00 ; 00031 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00027 ; 00002 ; 00007 ; 00001 ; 00000 ; 00000
00001 ; 16/10/2025 ; 02:00 ; 00014 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00007 ; 00000 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 16/10/2025 ; 03:00 ; 00009 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00003 ; 00006 ; 00000 ; 00000 ; 00000
00001 ; 16/10/2025 ; 04:00 ; 00007 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00007 ; 00001 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 16/10/2025 ; 05:00 ; 00028 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00017 ; 00001 ; 00020 ; 00002 ; 00000 ; 00000
00001 ; 16/10/2025 ; 06:00 ; 00137 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00052 ; 00003 ; 00042 ; 00001 ; 00000 ; 00000
00001 ; 16/10/2025 ; 07:00 ; 00202 ; 00021 ; 00000 ; 00000 ; 00000 ; 00000 ; 00151 ; 00012 ; 00103 ; 00007 ; 00000 ; 00000
00001 ; 16/10/2025 ; 08:00 ; 00617 ; 00043 ; 00000 ; 00000 ; 00000 ; 00000 ; 00559 ; 00031 ; 00392 ; 00013 ; 00000 ; 00000
00001 ; 16/10/2025 ; 09:00 ; 00832 ; 00090 ; 00000 ; 00000 ; 00000 ; 00000 ; 00677 ; 00059 ; 00430 ; 00021 ; 00000 ; 00000
00001 ; 16/10/2025 ; 10:00 ; 00634 ; 00100 ; 00000 ; 00000 ; 00000 ; 00000 ; 00466 ; 00050 ; 00270 ; 00026 ; 00000 ; 00000
00001 ; 16/10/2025 ; 11:00 ; 00643 ; 00076 ; 00000 ; 00000 ; 00000 ; 00000 ; 00427 ; 00053 ; 00181 ; 00017 ; 00000 ; 00000
00001 ; 16/10/2025 ; 12:00 ; 00631 ; 00071 ; 00000 ; 00000 ; 00000 ; 00000 ; 00423 ; 00049 ; 00199 ; 00022 ; 00000 ; 00000
00001 ; 16/10/2025 ; 13:00 ; 00680 ; 00066 ; 00000 ; 00000 ; 00000 ; 00000 ; 00445 ; 00049 ; 00220 ; 00020 ; 00000 ; 00000
00001 ; 16/10/2025 ; 14:00 ; 00784 ; 00045 ; 00000 ; 00000 ; 00000 ; 00000 ; 00498 ; 00027 ; 00223 ; 00011 ; 00000 ; 00000
00001 ; 16/10/2025 ; 15:00 ; 00777 ; 00067 ; 00000 ; 00000 ; 00000 ; 00000 ; 00499 ; 00038 ; 00242 ; 00019 ; 00000 ; 00000
00001 ; 16/10/2025 ; 16:00 ; 00815 ; 00076 ; 00000 ; 00000 ; 00000 ; 00000 ; 00433 ; 00041 ; 00236 ; 00010 ; 00000 ; 00000
00001 ; 16/10/2025 ; 17:00 ; 00885 ; 00084 ; 00000 ; 00000 ; 00000 ; 00000 ; 00520 ; 00050 ; 00286 ; 00020 ; 00000 ; 00000
00001 ; 16/10/2025 ; 18:00 ; 01045 ; 00079 ; 00000 ; 00000 ; 00000 ; 00000 ; 00603 ; 00039 ; 00285 ; 00022 ; 00000 ; 00000
00001 ; 16/10/2025 ; 19:00 ; 00872 ; 00053 ; 00000 ; 00000 ; 00000 ; 00000 ; 00561 ; 00025 ; 00251 ; 00024 ; 00000 ; 00000
00001 ; 16/10/2025 ; 20:00 ; 00696 ; 00023 ; 00000 ; 00000 ; 00000 ; 00000 ; 00375 ; 00015 ; 00174 ; 00007 ; 00000 ; 00000
00001 ; 16/10/2025 ; 21:00 ; 00466 ; 00016 ; 00000 ; 00000 ; 00000 ; 00000 ; 00331 ; 00012 ; 00125 ; 00007 ; 00000 ; 00000
00001 ; 16/10/2025 ; 22:00 ; 00289 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00159 ; 00012 ; 00078 ; 00004 ; 00000 ; 00000
00001 ; 16/10/2025 ; 23:00 ; 00246 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00130 ; 00007 ; 00043 ; 00001 ; 00000 ; 00000
00001 ; 16/10/2025 ; 24:00 ; 00077 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00055 ; 00006 ; 00024 ; 00001 ; 00000 ; 00000
00001 ; 17/10/2025 ; 01:00 ; 00044 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00012 ; 00000 ; 00008 ; 00000 ; 00000 ; 00000
00001 ; 17/10/2025 ; 02:00 ; 00017 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00014 ; 00002 ; 00002 ; 00000 ; 00000 ; 00000
00001 ; 17/10/2025 ; 03:00 ; 00015 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00000 ; 00002 ; 00000 ; 00000 ; 00000
00001 ; 17/10/2025 ; 04:00 ; 00010 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00005 ; 00001 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 17/10/2025 ; 05:00 ; 00025 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00015 ; 00002 ; 00017 ; 00000 ; 00000 ; 00000
00001 ; 17/10/2025 ; 06:00 ; 00141 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00057 ; 00001 ; 00037 ; 00001 ; 00000 ; 00000
00001 ; 17/10/2025 ; 07:00 ; 00228 ; 00025 ; 00000 ; 00000 ; 00000 ; 00000 ; 00163 ; 00015 ; 00103 ; 00011 ; 00000 ; 00000
00001 ; 17/10/2025 ; 08:00 ; 00615 ; 00050 ; 00000 ; 00000 ; 00000 ; 00000 ; 00570 ; 00033 ; 00368 ; 00014 ; 00000 ; 00000
00001 ; 17/10/2025 ; 09:00 ; 00718 ; 00090 ; 00000 ; 00000 ; 00000 ; 00000 ; 00579 ; 00069 ; 00406 ; 00028 ; 00000 ; 00000
00001 ; 17/10/2025 ; 10:00 ; 00608 ; 00077 ; 00000 ; 00000 ; 00000 ; 00000 ; 00422 ; 00051 ; 00254 ; 00021 ; 00000 ; 00000
00001 ; 17/10/2025 ; 11:00 ; 00685 ; 00107 ; 00000 ; 00000 ; 00000 ; 00000 ; 00396 ; 00075 ; 00224 ; 00024 ; 00000 ; 00000
00001 ; 17/10/2025 ; 12:00 ; 00645 ; 00085 ; 00000 ; 00000 ; 00000 ; 00000 ; 00454 ; 00051 ; 00231 ; 00024 ; 00000 ; 00000
00001 ; 17/10/2025 ; 13:00 ; 00779 ; 00079 ; 00000 ; 00000 ; 00000 ; 00000 ; 00474 ; 00048 ; 00223 ; 00019 ; 00000 ; 00000
00001 ; 17/10/2025 ; 14:00 ; 00858 ; 00048 ; 00000 ; 00000 ; 00000 ; 00000 ; 00533 ; 00048 ; 00222 ; 00009 ; 00000 ; 00000
00001 ; 17/10/2025 ; 15:00 ; 01069 ; 00066 ; 00000 ; 00000 ; 00000 ; 00000 ; 00644 ; 00041 ; 00308 ; 00020 ; 00000 ; 00000
00001 ; 17/10/2025 ; 16:00 ; 01092 ; 00066 ; 00000 ; 00000 ; 00000 ; 00000 ; 00641 ; 00057 ; 00287 ; 00015 ; 00000 ; 00000
00001 ; 17/10/2025 ; 17:00 ; 00980 ; 00066 ; 00000 ; 00000 ; 00000 ; 00000 ; 00544 ; 00047 ; 00267 ; 00014 ; 00000 ; 00000
00001 ; 17/10/2025 ; 18:00 ; 00937 ; 00064 ; 00000 ; 00000 ; 00000 ; 00000 ; 00515 ; 00041 ; 00222 ; 00022 ; 00000 ; 00000
00001 ; 17/10/2025 ; 19:00 ; 00782 ; 00034 ; 00000 ; 00000 ; 00000 ; 00000 ; 00492 ; 00020 ; 00216 ; 00008 ; 00000 ; 00000
00001 ; 17/10/2025 ; 20:00 ; 00685 ; 00028 ; 00000 ; 00000 ; 00000 ; 00000 ; 00413 ; 00020 ; 00167 ; 00004 ; 00000 ; 00000
00001 ; 17/10/2025 ; 21:00 ; 00522 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00355 ; 00011 ; 00107 ; 00003 ; 00000 ; 00000
00001 ; 17/10/2025 ; 22:00 ; 00357 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00239 ; 00011 ; 00084 ; 00005 ; 00000 ; 00000
00001 ; 17/10/2025 ; 23:00 ; 00251 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00158 ; 00008 ; 00054 ; 00001 ; 00000 ; 00000
00001 ; 17/10/2025 ; 24:00 ; 00134 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00075 ; 00005 ; 00037 ; 00001 ; 00000 ; 00000
00001 ; 18/10/2025 ; 01:00 ; 00078 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00063 ; 00004 ; 00018 ; 00001 ; 00000 ; 00000
00001 ; 18/10/2025 ; 02:00 ; 00041 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00027 ; 00004 ; 00017 ; 00002 ; 00000 ; 00000
00001 ; 18/10/2025 ; 03:00 ; 00025 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00012 ; 00003 ; 00002 ; 00002 ; 00000 ; 00000
00001 ; 18/10/2025 ; 04:00 ; 00014 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00003 ; 00003 ; 00006 ; 00002 ; 00000 ; 00000
00001 ; 18/10/2025 ; 05:00 ; 00023 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00019 ; 00002 ; 00011 ; 00003 ; 00000 ; 00000
00001 ; 18/10/2025 ; 06:00 ; 00050 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00026 ; 00002 ; 00019 ; 00001 ; 00000 ; 00000
00001 ; 18/10/2025 ; 07:00 ; 00077 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00062 ; 00003 ; 00030 ; 00002 ; 00000 ; 00000
00001 ; 18/10/2025 ; 08:00 ; 00119 ; 00017 ; 00000 ; 00000 ; 00000 ; 00000 ; 00075 ; 00012 ; 00078 ; 00009 ; 00000 ; 00000
00001 ; 18/10/2025 ; 09:00 ; 00224 ; 00029 ; 00000 ; 00000 ; 00000 ; 00000 ; 00106 ; 00025 ; 00064 ; 00008 ; 00000 ; 00000
00001 ; 18/10/2025 ; 10:00 ; 00331 ; 00036 ; 00000 ; 00000 ; 00000 ; 00000 ; 00180 ; 00021 ; 00131 ; 00013 ; 00000 ; 00000
00001 ; 18/10/2025 ; 11:00 ; 00472 ; 00036 ; 00000 ; 00000 ; 00000 ; 00000 ; 00268 ; 00024 ; 00147 ; 00009 ; 00000 ; 00000
00001 ; 18/10/2025 ; 12:00 ; 00699 ; 00034 ; 00000 ; 00000 ; 00000 ; 00000 ; 00353 ; 00018 ; 00184 ; 00012 ; 00000 ; 00000
00001 ; 18/10/2025 ; 13:00 ; 00682 ; 00026 ; 00000 ; 00000 ; 00000 ; 00000 ; 00355 ; 00014 ; 00187 ; 00009 ; 00000 ; 00000
00001 ; 18/10/2025 ; 14:00 ; 00589 ; 00017 ; 00000 ; 00000 ; 00000 ; 00000 ; 00419 ; 00009 ; 00185 ; 00005 ; 00000 ; 00000
00001 ; 18/10/2025 ; 15:00 ; 00458 ; 00021 ; 00000 ; 00000 ; 00000 ; 00000 ; 00326 ; 00013 ; 00178 ; 00008 ; 00000 ; 00000
00001 ; 18/10/2025 ; 16:00 ; 00358 ; 00016 ; 00000 ; 00000 ; 00000 ; 00000 ; 00260 ; 00010 ; 00101 ; 00003 ; 00000 ; 00000
00001 ; 18/10/2025 ; 17:00 ; 00463 ; 00017 ; 00000 ; 00000 ; 00000 ; 00000 ; 00272 ; 00010 ; 00108 ; 00006 ; 00000 ; 00000
00001 ; 18/10/2025 ; 18:00 ; 00496 ; 00013 ; 00000 ; 00000 ; 00000 ; 00000 ; 00349 ; 00010 ; 00157 ; 00004 ; 00000 ; 00000
00001 ; 18/10/2025 ; 19:00 ; 00528 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00384 ; 00008 ; 00126 ; 00006 ; 00000 ; 00000
00001 ; 18/10/2025 ; 20:00 ; 00544 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00418 ; 00009 ; 00140 ; 00005 ; 00000 ; 00000
00001 ; 18/10/2025 ; 21:00 ; 00489 ; 00017 ; 00000 ; 00000 ; 00000 ; 00000 ; 00366 ; 00009 ; 00122 ; 00004 ; 00000 ; 00000
00001 ; 18/10/2025 ; 22:00 ; 00320 ; 00014 ; 00000 ; 00000 ; 00000 ; 00000 ; 00212 ; 00013 ; 00080 ; 00006 ; 00000 ; 00000
00001 ; 18/10/2025 ; 23:00 ; 00211 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00140 ; 00011 ; 00043 ; 00003 ; 00000 ; 00000
00001 ; 18/10/2025 ; 24:00 ; 00142 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00096 ; 00008 ; 00039 ; 00001 ; 00000 ; 00000
00001 ; 19/10/2025 ; 01:00 ; 00106 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00060 ; 00006 ; 00023 ; 00002 ; 00000 ; 00000
00001 ; 19/10/2025 ; 02:00 ; 00055 ; 00009 ; 00000 ; 00000 ; 00000 ; 00000 ; 00039 ; 00005 ; 00017 ; 00002 ; 00000 ; 00000
00001 ; 19/10/2025 ; 03:00 ; 00029 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00014 ; 00003 ; 00003 ; 00002 ; 00000 ; 00000
00001 ; 19/10/2025 ; 04:00 ; 00019 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00014 ; 00006 ; 00007 ; 00002 ; 00000 ; 00000
00001 ; 19/10/2025 ; 05:00 ; 00018 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00013 ; 00002 ; 00012 ; 00002 ; 00000 ; 00000
